item_id,datetime,date,platform,constellation,mgrs_tile,eo_cloud_cover,processing_baseline,collection,date_range_filter,cloud_filter
S2C_MSIL2A_20250603T142731_R053_T19KGQ_20250603T194013,2025-06-03T14:27:31.025000Z,2025-06-03,Sentinel-2C,Sentinel 2,19KGQ,17.226343,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250605T142811_R053_T19KGQ_20250605T210913,2025-06-05T14:28:11.024000Z,2025-06-05,Sentinel-2A,Sentinel 2,19KGQ,0.153477,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250605T142811_R053_T19KGP_20250605T210913,2025-06-05T14:28:11.024000Z,2025-06-05,Sentinel-2A,Sentinel 2,19KGP,0.242289,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250608T142709_R053_T19KGQ_20250608T180623,2025-06-08T14:27:09.024000Z,2025-06-08,Sentinel-2B,Sentinel 2,19KGQ,0.061957,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250608T142709_R053_T19KGP_20250608T180623,2025-06-08T14:27:09.024000Z,2025-06-08,Sentinel-2B,Sentinel 2,19KGP,0.124018,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250613T142731_R053_T19KGQ_20250613T193516,2025-06-13T14:27:31.025000Z,2025-06-13,Sentinel-2C,Sentinel 2,19KGQ,0.091128,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250613T142731_R053_T19KGP_20250613T193516,2025-06-13T14:27:31.025000Z,2025-06-13,Sentinel-2C,Sentinel 2,19KGP,0.457085,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250618T142709_R053_T19KGQ_20250618T181314,2025-06-18T14:27:09.024000Z,2025-06-18,Sentinel-2B,Sentinel 2,19KGQ,0.089349,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250618T142709_R053_T19KGP_20250618T181314,2025-06-18T14:27:09.024000Z,2025-06-18,Sentinel-2B,Sentinel 2,19KGP,5.602549,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250623T142731_R053_T19KGQ_20250623T212416,2025-06-23T14:27:31.025000Z,2025-06-23,Sentinel-2C,Sentinel 2,19KGQ,0.164774,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250623T142731_R053_T19KGP_20250623T212416,2025-06-23T14:27:31.025000Z,2025-06-23,Sentinel-2C,Sentinel 2,19KGP,0.426468,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
