date,n_items,coverage_pct,mean_cloud,min_cloud,max_cloud,item_ids,mgrs_tiles
2025-06-08,2,100.0,0.0929875,0.061957,0.124018,S2B_MSIL2A_20250608T142709_R053_T19KGQ_20250608T180623;S2B_MSIL2A_20250608T142709_R053_T19KGP_20250608T180623,19KGP;19KGQ
2025-09-21,2,100.0,0.14377849999999998,0.035975,0.251582,S2C_MSIL2A_20250921T142731_R053_T19KGQ_20250921T193415;S2C_MSIL2A_20250921T142731_R053_T19KGP_20250921T193415,19KGP;19KGQ
2025-07-28,2,100.0,0.1690235,0.084976,0.253071,S2B_MSIL2A_20250728T142719_R053_T19KGQ_20250728T181950;S2B_MSIL2A_20250728T142719_R053_T19KGP_20250728T181950,19KGP;19KGQ
2025-08-04,2,100.0,0.17407250000000002,0.066344,0.281801,S2A_MSIL2A_20250804T142811_R053_T19KGQ_20250804T211614;S2A_MSIL2A_20250804T142811_R053_T19KGP_20250804T211614,19KGP;19KGQ
2025-06-05,2,100.0,0.197883,0.153477,0.242289,S2A_MSIL2A_20250605T142811_R053_T19KGQ_20250605T210913;S2A_MSIL2A_20250605T142811_R053_T19KGP_20250605T210913,19KGP;19KGQ
2025-07-18,2,100.0,0.238682,0.102223,0.375141,S2B_MSIL2A_20250718T142719_R053_T19KGQ_20250718T180351;S2B_MSIL2A_20250718T142719_R053_T19KGP_20250718T180351,19KGP;19KGQ
2025-06-13,2,100.0,0.27410650000000003,0.091128,0.457085,S2C_MSIL2A_20250613T142731_R053_T19KGQ_20250613T193516;S2C_MSIL2A_20250613T142731_R053_T19KGP_20250613T193516,19KGP;19KGQ
2025-07-03,2,100.0,0.29418,0.128371,0.459989,S2C_MSIL2A_20250703T142811_R053_T19KGQ_20250703T194403;S2C_MSIL2A_20250703T142811_R053_T19KGP_20250703T194403,19KGP;19KGQ
2025-06-23,2,100.0,0.295621,0.164774,0.426468,S2C_MSIL2A_20250623T142731_R053_T19KGQ_20250623T212416;S2C_MSIL2A_20250623T142731_R053_T19KGP_20250623T212416,19KGP;19KGQ
2025-08-12,2,100.0,0.2958915,0.258824,0.332959,S2C_MSIL2A_20250812T142731_R053_T19KGQ_20250812T185813;S2C_MSIL2A_20250812T142731_R053_T19KGP_20250812T185813,19KGP;19KGQ
2025-07-15,3,100.0,0.334918,0.085066,0.67038,S2A_MSIL2A_20250715T142811_R053_T19KGQ_20250715T211004;S2A_MSIL2A_20250715T142811_R053_T19KGP_20250715T224813;S2A_MSIL2A_20250715T142811_R053_T19KGP_20250715T211004,19KGP;19KGQ
2025-07-08,2,100.0,0.337791,0.260218,0.415364,S2B_MSIL2A_20250708T142719_R053_T19KGQ_20250708T181310;S2B_MSIL2A_20250708T142719_R053_T19KGP_20250708T181310,19KGP;19KGQ
2025-08-27,2,100.0,0.417326,0.034071,0.800581,S2B_MSIL2A_20250827T142719_R053_T19KGQ_20250827T180708;S2B_MSIL2A_20250827T142719_R053_T19KGP_20250827T180708,19KGP;19KGQ
2025-08-22,2,100.0,0.7928554999999999,0.46101,1.124701,S2C_MSIL2A_20250822T142811_R053_T19KGQ_20250822T195717;S2C_MSIL2A_20250822T142811_R053_T19KGP_20250822T195717,19KGP;19KGQ
2025-09-11,2,100.0,1.100889,0.760296,1.441482,S2C_MSIL2A_20250911T142731_R053_T19KGQ_20250911T174156;S2C_MSIL2A_20250911T142731_R053_T19KGP_20250911T174156,19KGP;19KGQ
2025-09-16,2,100.0,1.542523,0.151914,2.933132,S2B_MSIL2A_20250916T142709_R053_T19KGQ_20250916T195419;S2B_MSIL2A_20250916T142709_R053_T19KGP_20250916T195419,19KGP;19KGQ
2025-08-17,2,100.0,1.61457,1.115613,2.113527,S2B_MSIL2A_20250817T142719_R053_T19KGQ_20250817T180141;S2B_MSIL2A_20250817T142719_R053_T19KGP_20250817T180141,19KGP;19KGQ
2025-08-07,2,100.0,2.2374215,1.041367,3.433476,S2B_MSIL2A_20250807T142719_R053_T19KGQ_20250807T181514;S2B_MSIL2A_20250807T142719_R053_T19KGP_20250807T181514,19KGP;19KGQ
2025-07-13,2,100.0,2.6824795,0.475745,4.889214,S2C_MSIL2A_20250713T142811_R053_T19KGQ_20250713T195215;S2C_MSIL2A_20250713T142811_R053_T19KGP_20250713T195215,19KGP;19KGQ
2025-06-18,2,100.0,2.845949,0.089349,5.602549,S2B_MSIL2A_20250618T142709_R053_T19KGQ_20250618T181314;S2B_MSIL2A_20250618T142709_R053_T19KGP_20250618T181314,19KGP;19KGQ
2025-08-02,2,100.0,2.8800499999999998,2.329657,3.430443,S2C_MSIL2A_20250802T142811_R053_T19KGQ_20250802T193215;S2C_MSIL2A_20250802T142811_R053_T19KGP_20250802T193215,19KGP;19KGQ
