item_id,datetime,date,platform,constellation,mgrs_tile,eo_cloud_cover,processing_baseline,collection,date_range_filter,cloud_filter
S2A_MSIL2A_20250605T142811_R053_T19KGQ_20250605T210913,2025-06-05T14:28:11.024000Z,2025-06-05,Sentinel-2A,Sentinel 2,19KGQ,0.153477,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250605T142811_R053_T19KGP_20250605T210913,2025-06-05T14:28:11.024000Z,2025-06-05,Sentinel-2A,Sentinel 2,19KGP,0.242289,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250608T142709_R053_T19KGQ_20250608T180623,2025-06-08T14:27:09.024000Z,2025-06-08,Sentinel-2B,Sentinel 2,19KGQ,0.061957,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250608T142709_R053_T19KGP_20250608T180623,2025-06-08T14:27:09.024000Z,2025-06-08,Sentinel-2B,Sentinel 2,19KGP,0.124018,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250718T142719_R053_T19KGQ_20250718T180351,2025-07-18T14:27:19.024000Z,2025-07-18,Sentinel-2B,Sentinel 2,19KGQ,0.102223,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250718T142719_R053_T19KGP_20250718T180351,2025-07-18T14:27:19.024000Z,2025-07-18,Sentinel-2B,Sentinel 2,19KGP,0.375141,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250728T142719_R053_T19KGQ_20250728T181950,2025-07-28T14:27:19.024000Z,2025-07-28,Sentinel-2B,Sentinel 2,19KGQ,0.084976,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250728T142719_R053_T19KGP_20250728T181950,2025-07-28T14:27:19.024000Z,2025-07-28,Sentinel-2B,Sentinel 2,19KGP,0.253071,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250804T142811_R053_T19KGQ_20250804T211614,2025-08-04T14:28:11.024000Z,2025-08-04,Sentinel-2A,Sentinel 2,19KGQ,0.066344,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250804T142811_R053_T19KGP_20250804T211614,2025-08-04T14:28:11.024000Z,2025-08-04,Sentinel-2A,Sentinel 2,19KGP,0.281801,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250921T142731_R053_T19KGQ_20250921T193415,2025-09-21T14:27:31.025000Z,2025-09-21,Sentinel-2C,Sentinel 2,19KGQ,0.035975,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250921T142731_R053_T19KGP_20250921T193415,2025-09-21T14:27:31.025000Z,2025-09-21,Sentinel-2C,Sentinel 2,19KGP,0.251582,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
