sample_id,class_id,class_name,macro_class,season,confidence,split,source,notes,scl,x,y,B04,B03,B02,B05,B06,B07,B08,B8A,B11,B12,NDVI,NDWI,MNDWI,NDBI_like,SWIR_ratio,NIR_SWIR_ratio,RED_SWIR_ratio,GREEN_SWIR_ratio,BLUE_RED_ratio
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728620.0,7383160.0,3760.0,4934.0,3521.0,3160.0,1352.0,1261.0,1249.5,1095.5,1060.5,1060.5,-0.5011478190435876,0.5958599497702175,0.6461756609148093,-0.0818181817827626,0.9999999990570484,1.178217820671176,3.5454974035403133,4.652522390709549,0.9364361699637138
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728760.0,7383320.0,3966.0,5394.0,4032.0,3400.0,1445.0,1331.0,1309.5,1108.5,1048.5,1051.5,-0.5035541653864933,0.6093085700590276,0.6745052385448963,-0.1106870228538223,0.9971469320046152,1.2489270374354533,3.782546491385268,5.144492126710069,1.0166414520885927
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728800.0,7383500.0,3698.0,5332.0,4054.0,3147.5,1385.0,1292.0,1275.0,1098.0,1053.0,1062.0,-0.4872310475593743,0.6140457090034742,0.6701644478198646,-0.0953608247013055,0.9915254227951736,1.2108262096763285,3.5118708418690683,5.063627725485633,1.09626825281334
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728380.0,7382480.0,3651.0,4568.0,3027.0,2980.0,1282.5,1223.0,1227.0,1071.5,1054.0,1053.5,-0.4969249691478218,0.5765314925666036,0.6250444680496186,-0.0758439280684594,1.0004746074983628,1.1641366212863975,3.463946865783732,4.333965840290355,0.8290879208904169
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728780.0,7383420.0,3808.0,5372.0,4046.0,3237.0,1412.5,1321.5,1287.0,1105.5,1054.0,1053.5,-0.4947988222777627,0.6134554737027398,0.6719576718531034,-0.0995301152928107,1.0004746074983628,1.2210626174373218,3.6129032223786495,5.096774188712738,1.062499999720982
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730320.0,7384580.0,8088.0,8212.0,7998.0,8315.0,6387.0,5974.5,5846.0,5379.5,1765.0,1424.5,-0.160901392266334,0.1683027457555624,0.6461862282603802,-0.5361976086537645,1.239031238161438,3.312181301239557,4.582436258026948,4.652691215494226,0.9888724034385666
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728660.0,7383260.0,3854.0,5236.0,3884.0,3233.5,1411.0,1302.5,1310.0,1107.0,1058.5,1065.0,-0.4926413631888765,0.5997555758326069,0.6636746364820597,-0.1061853493324106,0.993896712681787,1.2376003767240429,3.641001413659896,4.94662257444816,1.007784120132905
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728800.0,7383320.0,4276.0,5638.0,4246.0,3535.0,1489.5,1359.5,1408.0,1117.5,1047.0,1046.0,-0.5045742434017286,0.6003406187056002,0.6867614060304021,-0.1470468431172925,1.0009560219876137,1.3447946501004826,4.08404966181084,5.384909259422245,0.9929840970549616
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728660.0,7383180.0,3879.0,5056.0,3616.0,3277.5,1376.5,1275.5,1260.5,1084.0,1053.0,1054.5,-0.5094853583987771,0.6008865668327575,0.6552627270166537,-0.0896909444176827,0.9985775239463464,1.1970560292525585,3.6837606802623353,4.801519463626287,0.9321990201257544
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728640.0,7383160.0,3831.0,4986.0,3543.0,3232.0,1359.5,1267.0,1257.0,1090.0,1053.0,1060.5,-0.505896226315665,0.5973089859687155,0.6512667659130209,-0.0883116882734581,0.99292786327871,1.193732192598545,3.6381766347215794,4.735042730546017,0.9248238055534264
