sample_id,class_id,class_name,macro_class,season,confidence,split,source,notes,scl,x,y,B04,B03,B02,B05,B06,B07,B08,B8A,B11,B12
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728820.0,7391040.0,2964.0,6494.0,6716.0,2251.5,1170.0,1171.0,1153.5,1122.0,1114.0,1096.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728780.0,7391020.0,2814.0,6524.0,6694.0,2159.0,1134.5,1153.0,1129.5,1097.5,1110.0,1109.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728800.0,7391020.0,2873.0,6542.0,6806.0,2193.0,1140.0,1149.5,1138.5,1099.0,1106.0,1104.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728820.0,7391020.0,2967.0,6574.0,6802.0,2277.5,1155.5,1172.5,1150.5,1110.5,1098.5,1085.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7391020.0,3115.0,6670.0,6864.0,2370.0,1175.5,1177.0,1168.5,1128.0,1095.5,1078.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7391020.0,3273.0,6748.0,6900.0,2509.5,1218.0,1199.0,1191.5,1138.0,1096.0,1067.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728760.0,7391000.0,2774.0,6516.0,6680.0,2128.0,1147.0,1143.0,1124.0,1105.5,1119.0,1130.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728780.0,7391000.0,2817.0,6578.0,6744.0,2132.0,1120.0,1139.5,1121.5,1097.0,1097.5,1112.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728800.0,7391000.0,2886.0,6568.0,6830.0,2183.0,1140.0,1150.5,1126.5,1095.0,1099.5,1093.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7391000.0,3014.0,6712.0,6870.0,2280.5,1152.5,1164.5,1137.0,1093.5,1089.5,1102.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7391000.0,3130.0,6800.0,6950.0,2396.5,1171.0,1174.5,1160.0,1112.5,1087.5,1082.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7391000.0,3296.0,6834.0,6964.0,2514.5,1207.0,1207.5,1183.0,1125.0,1092.5,1060.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7391000.0,3433.0,6870.0,6998.0,2659.0,1249.5,1242.5,1238.5,1144.0,1100.5,1078.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728740.0,7390980.0,2741.0,6482.0,6662.0,2110.5,1139.0,1163.0,1112.5,1115.0,1126.0,1124.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728760.0,7390980.0,2728.0,6518.0,6672.0,2085.0,1121.0,1133.5,1111.0,1088.0,1098.5,1114.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728780.0,7390980.0,2810.0,6612.0,6764.0,2120.5,1122.0,1140.5,1122.5,1092.5,1096.0,1100.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728800.0,7390980.0,2893.0,6612.0,6798.0,2184.5,1136.5,1151.0,1124.0,1088.0,1091.5,1101.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390980.0,3008.0,6700.0,6876.0,2276.0,1147.5,1162.5,1130.5,1095.5,1083.5,1106.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390980.0,3115.0,6772.0,6976.0,2379.5,1165.5,1176.0,1164.0,1107.5,1084.5,1093.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390980.0,3293.0,6884.0,6990.0,2496.5,1207.5,1189.5,1187.0,1117.0,1086.5,1074.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728880.0,7390980.0,3493.0,6948.0,7008.0,2665.0,1250.0,1219.5,1217.0,1143.0,1093.0,1080.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728900.0,7390980.0,3746.0,6958.0,7010.0,2885.5,1306.5,1270.5,1273.5,1168.0,1090.0,1056.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728720.0,7390960.0,2749.0,6492.0,6662.0,2106.5,1140.0,1160.5,1117.0,1116.0,1136.5,1124.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728740.0,7390960.0,2769.0,6542.0,6702.0,2099.0,1117.0,1140.0,1105.5,1090.0,1103.0,1097.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728760.0,7390960.0,2784.0,6608.0,6746.0,2098.0,1115.0,1127.5,1107.5,1079.0,1090.0,1097.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728780.0,7390960.0,2836.0,6668.0,6830.0,2134.5,1114.0,1129.5,1118.5,1080.5,1089.0,1096.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,5,728800.0,7390960.0,2947.0,6684.0,6878.0,2212.5,1125.5,1142.0,1119.0,1095.0,1084.0,1094.0
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728820.0,7390960.0,3067.0,6770.0,6940.0,2295.5,1136.5,1142.0,1133.0,1108.0,1082.0,1097.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728840.0,7390960.0,3143.0,6826.0,6958.0,2383.5,1157.5,1157.5,1151.5,1110.0,1081.5,1108.5
agua_humedad_001,3,agua_humedad,humedad_agua,seca,alta,train,sentinel2_l2a_2025,zona oscura homogénea asociada a humedad superficial,6,728860.0,7390960.0,3292.0,6900.0,7002.0,2506.0,1197.5,1192.0,1173.0,1132.0,1084.5,1074.0
